method,function_value,error,arguments,time_duration
diffrential evolution algorithm,1.2665364349928577e-09,1.2665364349928577e-09,"[1.3951109878777398e-05, -1.0265330045512212e-07, 3.273976833215292e-05]",0.03334307670593262
diffrential evolution algorithm,2.109039033432595e-09,2.109039033432595e-09,"[2.013026096168973e-05, 1.5447198615182382e-06, 4.124833896772446e-05]",0.03267407417297363
diffrential evolution algorithm,2.338804283864235e-09,2.338804283864235e-09,"[4.792211997497766e-05, 6.174487600421857e-06, -2.0372539950430505e-06]",0.03072834014892578
diffrential evolution algorithm,3.303184589324638e-09,3.303184589324638e-09,"[5.452738494498401e-05, 1.6459135929292493e-05, -7.68412160544337e-06]",0.030427217483520508
evolution strategies algorithm search,5.301093372440937e-08,5.301093372440937e-08,"[-7.722328444547022e-05, 0.0002053855884695232, 6.974423354579951e-05]",0.03670930862426758
evolution strategies algorithm search,2.0543823764592213e-07,2.0543823764592213e-07,"[0.0001168984869212683, -0.00012440806803722224, 0.00041987571257300185]",0.035193443298339844
evolution strategies algorithm search,0.00011854873372644538,0.00011854873372644538,"[-0.006065315858411237, 0.006031749429166244, -0.006736369651964124]",0.035291433334350586
evolution strategies algorithm search,6.494529802337178e-06,6.494529802337178e-06,"[0.0011630006534358896, -0.00016102136932523176, -0.00226186458504162]",0.0377192497253418
evolution strategies algorithm search,6.846126395090384e-07,6.846126395090384e-07,"[0.00020378188924759306, 0.00018556500741468253, 0.0007801610148853305]",0.038274288177490234
evolution strategies algorithm search,3.043119854268766e-08,3.043119854268766e-08,"[-0.00010525018397581948, 0.00013681242857286507, 2.521818200700661e-05]",0.0352022647857666
evolution strategies algorithm search,5.965612467183934e-09,5.965612467183934e-09,"[7.414847294736963e-05, -1.4333766244150127e-05, -1.6191342501941923e-05]",0.04376053810119629
evolution strategies algorithm search,2.688037264784863e-09,2.688037264784863e-09,"[1.4425553483052418e-05, 4.0756610520217674e-05, 2.8615369478581597e-05]",0.035032033920288086
evolution strategies algorithm search,3.169671909020547e-06,3.169671909020547e-06,"[0.0006102690173034201, 0.0002992305553473389, 0.001645510471035231]",0.0352931022644043
evolution strategies algorithm search,6.935240483954849e-07,6.935240483954849e-07,"[0.00017157335409109082, 0.00026839198768354686, 0.0007694493963274602]",0.03607940673828125
evolution strategies algorithm search,5.2325246978438375e-06,5.2325246978438375e-06,"[0.0002842432577443701, 0.0013685284582055889, -0.0018107623608171611]",0.03815340995788574
evolution strategies algorithm search,7.678284329482473e-08,7.678284329482473e-08,"[0.0002713113303225711, -4.9373066785978294e-05, -2.7116519127070123e-05]",0.03551006317138672
evolution strategies algorithm search,5.53783695277531e-08,5.53783695277531e-08,"[0.0001713536536927249, -0.00015047868702711673, 5.807288217836143e-05]",0.035088300704956055
evolution strategies algorithm search,4.8183134779952135e-09,4.8183134779952135e-09,"[-2.4066941694116616e-05, -6.29595013901598e-05, -1.6589062064796553e-05]",0.03612804412841797
evolution strategies algorithm search,7.346897342438569e-08,7.346897342438569e-08,"[-0.00016041095449401604, 9.177826392534129e-05, -0.00019827770770703096]",0.03665781021118164
evolution strategies algorithm search,1.1007997589869322e-06,1.1007997589869322e-06,"[0.00045903395803193955, 0.00042126043573867183, -0.0008441725117780891]",0.03960895538330078
evolution strategies algorithm search,1.9687045583051815e-09,1.9687045583051815e-09,"[2.8569439841980095e-05, -3.347594755395203e-05, -5.643810838938078e-06]",0.03817176818847656
evolution strategies algorithm search,3.447673095328707e-09,3.447673095328707e-09,"[4.05994477999654e-05, 3.155926426406137e-05, -2.8343796019194932e-05]",0.03635001182556152
evolution strategies algorithm search,5.741535178259915e-06,5.741535178259915e-06,"[-0.002381054357062253, -0.00023937617976860505, 0.00012171430291532627]",0.036774635314941406
evolution strategies algorithm search,1.4594361762317356e-06,1.4594361762317356e-06,"[-0.0011389674959814894, 0.0003070449897994063, -0.0002606004481355971]",0.037131309509277344
evolution strategies algorithm search,5.622697318512912e-06,5.622697318512912e-06,"[-0.0002578886946642692, -0.002344893635963899, 0.00024013449500910372]",0.03953099250793457
evolution strategies algorithm search,1.6260645627958308e-07,1.6260645627958308e-07,"[0.00011383870347880267, -5.531114615957549e-05, -0.0003828679706901093]",0.03759574890136719
evolution strategies algorithm search,4.330997237123764e-08,4.330997237123764e-08,"[3.260204212863821e-05, 1.0457076699812908e-05, -0.00020527476407774622]",0.038459062576293945
evolution strategies algorithm search,1.0245100817281169e-06,1.0245100817281169e-06,"[0.00010402375925656557, -0.00010815207383935084, -0.0010009956384333034]",0.037872314453125
evolution strategies algorithm search,3.7172372124890968e-06,3.7172372124890968e-06,"[0.0006975583500437213, -0.0017910640544556795, 0.00015079493894080368]",0.0478215217590332
evolution strategies algorithm search,4.759665763872419e-05,4.759665763872419e-05,"[-0.0019799286794791038, -0.00016643979947687793, -0.006606726712680828]",0.03568148612976074
evolution strategies algorithm search,6.504440781777012e-08,6.504440781777012e-08,"[0.00013479564010076173, 9.283989769828078e-05, -0.00019558961276859463]",0.03550100326538086
evolution strategies algorithm search,6.782173678133646e-07,6.782173678133646e-07,"[0.0001235728894991813, 0.0007995561159982477, 0.00015380873240484236]",0.03707075119018555
evolution strategies algorithm search,1.087772332954838e-07,1.087772332954838e-07,"[-0.00011533353959924277, -0.00030653806950261446, 3.8856400818964264e-05]",0.035622358322143555
evolution strategies algorithm search,3.678695136648554e-09,3.678695136648554e-09,"[3.6985447902753135e-05, 4.651696304694499e-05, 1.2122043102152446e-05]",0.03684091567993164
evolution strategies algorithm search,8.476573161354016e-06,8.476573161354016e-06,"[-0.0024816600915963565, -0.00038000126515269324, -0.001474291487330213]",0.036002397537231445
evolution strategies algorithm search,2.3428328946551713e-07,2.3428328946551713e-07,"[-0.00018047513618468412, 0.00044180190043191194, -8.076568243621692e-05]",0.034648895263671875
evolution strategies algorithm search,1.1198077838641015e-06,1.1198077838641015e-06,"[-0.00015474816229492665, -0.0010419245694538348, -0.00010126194595644258]",0.03787636756896973
